Shop Code,Recency,Frequency,Monetary,Volatility,First_Year,True_Churn,R_Score,F_Score,M_Score,V_Score
Shop 124,36,1,2984.9300000000003,0.0,2024,0,2,1,1,5
Shop 125,30,3,6020.7300000000005,8.350496780746694,2024,0,2,1,1,1
Shop 126,27,7,33118.33,7.068404227398983,2023,1,2,2,4,1
Shop 127,33,8,20270.39,5.113745559341799,2023,1,2,2,3,3
Shop 128,44,10,32778.39,8.355016309197808,2023,0,2,3,4,1
Shop 129,8,6,6168.7300000000005,4.430058014430344,2023,1,4,2,1,4
Shop 130,29,10,15339.130000000001,5.461890842324561,2023,0,2,3,3,2
Shop 131,9,23,91150.04,6.888978569203861,2023,0,4,5,5,1
Shop 132,7,8,34207.92,8.38593776266079,2023,0,5,2,4,1
Shop 133,35,5,6808.62,5.177432679319567,2023,1,2,1,2,3
Shop 134,15,8,13469.56,5.321879246967865,2023,0,3,2,2,3
Shop 135,317,7,36029.7,8.625531728445594,2023,1,1,2,4,1
Shop 136,47,8,20699.09,7.029012273293419,2023,0,2,2,3,1
Shop 137,14,9,12284.49,4.693608480243923,2023,0,3,2,2,3
Shop 138,335,2,2003.48,3.7416573867739413,2023,0,1,1,1,4
Shop 139,84,14,14101.880000000001,3.3210671338906383,2023,0,1,4,3,5
Shop 140,9,24,71912.93000000001,5.556732421666434,2023,0,4,5,5,2
Shop 141,48,7,10859.84,5.118631313641181,2023,0,2,2,2,3
Shop 142,9,11,20295.47,5.1105553981751,2023,0,4,3,3,3
Shop 143,20,7,28126.010000000002,7.2877951525214515,2023,1,3,2,4,1
Shop 144,447,2,6813.78,5.5677643628300215,2023,1,1,1,2,2
Shop 145,106,2,1456.94,4.7958315233127236,2023,0,1,1,1,3
Shop 146,0,30,548726.98,1.6626530493614384,2023,0,5,5,5,5
Shop 147,30,11,13810.28,4.568584453179926,2023,0,2,3,2,3
Shop 148,21,10,18376.95,7.1535112080114684,2023,0,3,3,3,1
Shop 149,27,10,12453.58,3.5640117319749662,2023,0,2,3,2,4
Shop 150,26,16,18824.0,4.071844178218295,2023,0,2,4,3,4
Shop 151,5,6,9957.11,5.23935167611572,2023,0,5,2,2,3
Shop 152,9,6,27596.36,8.665412185477939,2023,0,4,2,4,1
Shop 153,146,4,10603.97,6.79687498723288,2023,1,1,1,2,1
Shop 154,20,8,14027.78,7.994518865560613,2023,0,3,2,3,1
Shop 155,8,12,845422.7999999999,5.338809732541218,2023,1,4,3,5,3
Shop 156,254,1,459.06,0.0,2023,1,1,1,1,5
Shop 157,13,8,12316.43,4.407530232604506,2023,0,4,2,2,4
Shop 158,14,5,11839.41,5.282907729624359,2023,0,3,1,2,3
Shop 159,6,21,52843.65,4.718817845462567,2023,0,5,5,5,3
Shop 160,61,22,23475.59,5.5071606247440315,2023,0,1,5,3,2
Shop 161,9,12,24243.77,6.97058294427937,2023,1,4,3,3,1
Shop 162,42,5,5640.14,4.5542608825644475,2023,0,2,1,1,3
Shop 163,8,8,12256.13,3.644817653656694,2023,0,4,2,2,4
Shop 164,5,13,17048.760000000002,3.6213274536086884,2023,0,5,4,3,4
Shop 165,9,10,43452.32,2.1774738089163086,2023,0,4,3,4,5
Shop 166,2,48,139279.91,7.213715692417283,2023,0,5,5,5,1
Shop 167,21,24,24501.48,3.876325616363272,2023,0,3,5,4,4
Shop 168,13,7,13278.5,4.254677323484864,2023,0,4,2,2,4
Shop 169,6,6,2656.25,2.3966873338617622,2023,0,5,2,1,5
Shop 170,8,18,146953.51,5.5680659049530306,2023,0,4,4,5,2
Shop 171,8,11,7641.08,3.359969792082869,2023,0,4,3,2,5
Shop 172,2,31,280801.29,3.4384371759698924,2023,0,5,5,5,5
Shop 173,9,7,6018.32,4.281942964886102,2023,1,4,2,1,4
Shop 174,281,8,22118.1,5.3599977616724885,2023,1,1,2,3,3
Shop 175,9,25,70091.43000000001,6.734064107876307,2023,0,4,5,5,2
Shop 176,0,56,416951.75,2.776425737149946,2023,0,5,5,5,5
Shop 177,34,9,16133.14,1.4836191295024466,2023,0,2,2,3,5
Shop 178,13,24,30695.72,3.895456894837737,2023,0,4,5,4,4
Shop 179,0,19,50035.82,4.3874361715367955,2023,0,5,4,4,4
Shop 180,8,37,229528.17,5.993403610401922,2023,0,4,5,5,2
Shop 181,20,9,8613.27,3.6313886422516664,2023,0,3,2,2,4
Shop 182,41,20,18562.88,2.0942343241111585,2023,0,2,5,3,5
Shop 183,7,2,1449.9899999999998,1.4142135623730951,2024,0,5,1,1,5
Shop 184,13,10,16187.15,4.582855395323906,2023,0,4,3,3,3
Shop 185,126,3,8277.79,5.456711262888778,2023,1,1,1,2,2
Shop 186,34,5,3123.05,3.009681426070771,2023,0,2,1,1,5
Shop 187,219,2,4682.2,7.000000000000004,2023,1,1,1,1,1
Shop 188,7,29,42815.1,4.829513039072314,2023,0,5,5,4,3
Shop 189,56,13,75370.86,2.236898098925103,2023,1,1,4,5,5
Shop 190,5,34,599250.66,7.581992210512406,2023,0,5,5,5,1
Shop 191,0,28,22314.72,10.424112354682892,2023,0,5,5,3,1
Shop 192,0,32,41974.21,4.161608028797729,2023,0,5,5,4,4
Shop 193,8,2,3982.95,7.5498344352707525,2023,1,4,1,1,1
Shop 194,22,9,19702.260000000002,5.819884477422731,2023,0,3,2,3,2
Shop 195,2,9,15960.42,5.02995270900491,2023,0,5,2,3,3
Shop 196,6,8,19190.68,4.143693273649069,2023,0,5,2,3,4
Shop 197,9,25,128802.66,5.878449994500405,2023,0,4,5,5,2
Shop 198,9,16,14969.289999999999,7.840332105205198,2023,0,4,4,3,1
Shop 199,5,19,23043.7,4.429966139347057,2023,0,5,4,3,4
Shop 200,19,11,9455.81,3.684115905791318,2023,0,3,3,2,4
Shop 201,13,7,4660.59,3.608883833219432,2023,0,4,2,1,4
Shop 202,454,1,38.52,0.0,2023,1,1,1,1,5
Shop 203,2,23,49477.66,6.029718463180089,2023,0,5,5,4,2
Shop 204,23,9,39823.31,7.391701745597131,2023,0,3,2,4,1
Shop 205,505,1,1598.0,0.0,2023,1,1,1,1,5
Shop 207,146,1,2415.85,0.0,2024,0,1,1,1,5
Shop 208,114,9,13353.8,3.8409802504035566,2023,0,1,2,2,4
Shop 209,47,5,5839.7300000000005,3.835823141126282,2023,1,2,1,1,4
Shop 210,6,32,283560.38,4.015905303816625,2023,0,5,5,5,4
Shop 211,13,12,13484.02,4.7235703851742725,2023,0,4,3,2,3
Shop 212,175,12,28417.41,5.590020781116719,2023,1,1,3,4,2
Shop 213,126,6,12583.42,3.7277078503269783,2023,1,1,2,2,4
Shop 214,0,17,74299.87,5.450796456166116,2023,0,5,4,5,2
Shop 215,2,22,72053.4,8.08957631333764,2023,0,5,5,5,1
Shop 216,9,3,24901.15,7.764071283272799,2023,1,4,1,4,1
Shop 217,27,8,9009.33,4.73853298543525,2023,1,2,2,2,3
Shop 218,13,8,6445.64,3.712755215822481,2023,0,4,2,1,4
Shop 219,23,8,5338.9,4.017332971065466,2023,0,3,2,1,4
Shop 220,58,2,3444.86,6.244997998398398,2024,0,1,1,1,2
Shop 221,5,10,62523.85,5.738864964771991,2023,0,5,3,5,2
Shop 222,16,16,33589.0,6.119725863380368,2023,0,3,4,4,2
Shop 223,21,21,89734.22,6.813815784270799,2023,0,3,5,5,1
Shop 224,6,9,16807.3,4.917608066738591,2023,0,5,2,3,3
Shop 225,55,8,10495.63,1.97290959718055,2023,1,1,2,2,5
Shop 226,175,6,57706.51,4.909259401186786,2023,1,1,2,5,3
Shop 227,37,7,9859.29,3.804194950946415,2023,0,2,2,2,4
Shop 228,142,19,27578.6,3.755869473270977,2023,1,1,4,4,4
Shop 229,0,15,21678.37,5.231670273860973,2023,0,5,4,3,3
Shop 230,198,3,5730.16,5.815298490691166,2023,1,1,1,1,2
Shop 231,2,39,441813.57,12.36502007984939,2023,0,5,5,5,1
Shop 232,8,11,15247.24,2.897001143902581,2023,0,4,3,3,5
Shop 233,8,14,18326.34,4.8916381957114226,2023,0,4,4,3,3
Shop 234,14,10,12092.82,3.86828240139498,2023,0,3,3,2,4
Shop 235,7,20,21280.31,3.711579725319602,2023,0,5,5,3,4
Shop 236,9,2,6247.6900000000005,8.54400374531753,2024,0,4,1,1,1
Shop 237,26,7,2835.82,2.681436959293779,2023,0,2,2,1,5
Shop 238,9,37,277235.26,15.96819615299914,2023,0,4,5,5,1
Shop 239,16,18,66411.11,8.263292279968535,2023,0,3,4,5,1
Shop 240,21,17,44837.590000000004,6.264147163463422,2023,0,3,4,4,2
Shop 241,2,15,30214.47,4.737880431151865,2023,0,5,4,4,3
Shop 242,0,6,5691.2,3.3325703618844638,2023,0,5,2,1,5
Shop 243,28,16,29485.86,4.67726689246529,2023,0,2,4,4,3
Shop 244,9,37,99563.31,8.993852633776031,2023,0,4,5,5,1
Shop 245,15,28,162866.08000000002,10.424558804385374,2023,0,3,5,5,1
Shop 246,70,5,4563.05,3.834223329607439,2023,1,1,1,1,4
Shop 247,40,9,16601.7,4.911212687593363,2023,0,2,2,3,3
Shop 248,9,40,392929.21,13.308304556921405,2023,0,4,5,5,1
Shop 249,239,1,824.69,0.0,2023,0,1,1,1,5
Shop 250,8,40,241096.57,13.306840346228515,2023,0,4,5,5,1
Shop 251,28,10,14552.28,4.140525598411177,2023,0,2,3,3,4
Shop 252,9,38,235275.94,15.79523621759538,2023,0,4,5,5,1
Shop 253,5,40,392568.07,9.690302353955268,2023,0,5,5,5,1
Shop 254,7,46,742335.15,13.380317430983402,2023,0,5,5,5,1
Shop 255,15,22,17558.87,3.1479218246676153,2023,0,3,5,3,5
Shop 256,9,36,79133.2,10.52420188079094,2023,0,4,5,5,1
Shop 257,6,15,19627.34,4.5125339057105815,2023,1,5,4,3,3
Shop 258,69,13,7065.65,3.0612654484195767,2023,0,1,4,2,5
Shop 259,0,31,162709.26,5.118378256245446,2023,0,5,5,5,3
Shop 260,9,39,134697.27,10.84155854670795,2023,0,4,5,5,1
Shop 262,29,4,7535.88,5.687312607142152,2023,0,2,1,2,2
Shop 263,9,10,14791.17,7.638545745584737,2023,0,4,3,3,1
Shop 264,231,1,1014.32,0.0,2023,1,1,1,1,5
Shop 265,6,8,12449.16,5.188523572700119,2023,0,5,2,2,3
Shop 266,2,4,5184.04,3.9669415033680338,2024,0,5,1,1,4
