Shop Code,Recency,Frequency,Monetary,Volatility,First_Year,True_Churn,R_Score,F_Score,M_Score,V_Score,Segment,Average Order Value,YTD_RLV,Trans_num_orders,Trans_avg_order_value,Expected Lifetime Orders,Expected RLV
Shop 020,14,6,12501.43,4.797903568660417,2023,0,3,2,2,3,At Risk,2083.5716666666667,13625.25,7,1946.4642857142858,12.303564932949673,25635.359293287504
Shop 021,16,16,23682.53,4.789115774777809,2023,0,3,4,3,3,At Risk,1480.158125,27830.6,18,1546.1444444444444,12.303564932949673,18211.221601970537
Shop 022,15,6,36789.38,2.789388075253807,2023,1,3,2,4,5,At Risk,6131.563333333333,36789.38,6,6131.563333333333,12.303564932949673,75440.08761216
Shop 023,84,6,9855.43,4.7266676019556675,2023,1,1,2,2,3,At Risk,1642.5716666666667,9855.43,6,1642.5716666666667,12.303564932949673,20209.4871578567
Shop 024,65,4,4305.21,3.939081086343804,2023,0,1,1,1,4,At Risk,1076.3025,5325.29,5,1065.058,12.303564932949673,13242.357696246065
Shop 025,2,18,71027.98,7.970148680314649,2023,0,5,4,5,1,VIP,3945.998888888889,84746.98,22,3852.135454545454,12.303564932949673,48549.853554791705
Shop 026,7,20,33982.97,4.728046322619939,2023,0,5,5,4,3,VIP,1699.1485,42623.8,24,1775.9916666666668,12.303564932949673,20905.583900474037
Shop 027,20,10,8966.36,3.207565599763192,2023,0,3,3,2,5,At Risk,896.6360000000001,10515.27,12,876.2725,12.303564932949673,11031.819247220265
Shop 028,72,5,6685.03,5.709577630420241,2023,0,1,1,2,2,At Risk,1337.0059999999999,7170.160000000001,6,1195.0266666666669,12.303564932949673,16449.94013674331
Shop 030,35,6,5019.62,3.3826382753136004,2023,0,2,2,1,5,At Risk,836.6033333333334,5549.63,7,792.8042857142857,12.303564932949673,10293.203434788806
Shop 031,5,1,2833.82,0.0,2024,0,5,1,1,5,Promising,2833.82,9377.33,4,2344.3325,12.303564932949673,34866.088378291446
Shop 032,34,2,7441.55,1.7320508075688772,2024,0,2,1,2,5,Dormant,3720.775,16300.039999999999,4,4075.0099999999998,12.303564932949673,45778.79681339582
Shop 033,79,3,24187.69,7.622677274626704,2023,1,1,1,3,1,At Risk,8062.563333333333,24187.69,3,8062.563333333333,12.303564932949673,99198.27149768581
Shop 034,29,16,19650.93,4.7159931343834405,2023,0,2,4,3,3,At Risk,1228.183125,21433.68,17,1260.804705882353,12.303564932949673,15111.030827990546
Shop 035,85,12,46328.8,5.909258077018346,2023,1,1,3,4,2,At Risk,3860.7333333333336,46328.8,12,3860.7333333333336,12.303564932949673,47500.783255469905
Shop 037,0,27,30037.27,3.4549211632209498,2023,0,5,5,4,5,Loyal,1112.4914814814815,35739.65,32,1116.8640625,12.303564932949673,13687.611179760786
Shop 038,65,59,110684.22,9.08563631657726,2023,1,1,5,5,1,At Risk,1876.0037288135593,110684.22,59,1876.0037288135593,12.303564932949673,23081.533691913337
Shop 039,27,22,40077.21,5.413320807062955,2023,0,2,5,4,2,At Risk,1821.6913636363636,49160.47,26,1890.7873076923076,12.303564932949673,22413.297980293635
Shop 040,124,3,2064.4,3.735563482222081,2023,1,1,1,1,4,At Risk,688.1333333333333,2064.4,3,688.1333333333333,12.303564932949673,8466.493149193768
Shop 041,16,9,8679.83,2.577535560171417,2023,0,3,2,2,5,At Risk,964.4255555555555,11493.44,11,1044.858181818182,12.303564932949673,11865.872445773839
Shop 042,16,11,5938.02,2.679707742227948,2023,0,3,3,1,5,At Risk,539.82,7434.889999999999,13,571.9146153846153,12.303564932949673,6641.710422104893
Shop 043,44,9,5997.07,3.635700421600675,2023,0,2,2,1,4,At Risk,666.3411111111111,6903.46,11,627.5872727272728,12.303564932949673,8198.371128049388
Shop 044,134,3,2279.96,2.960584193419655,2023,1,1,1,1,5,At Risk,759.9866666666667,2279.96,3,759.9866666666667,12.303564932949673,9350.545301509312
Shop 045,14,23,21512.0,4.797059521474752,2023,0,3,5,3,3,At Risk,935.304347826087,29076.71,30,969.2236666666666,12.303564932949673,11507.577775548407
Shop 046,43,1,2617.31,0.0,2024,0,2,1,1,5,Dormant,2617.31,6223.280000000001,2,3111.6400000000003,12.303564932949673,32202.243534658508
Shop 047,22,2,8045.69,7.41619848709566,2024,0,3,1,2,1,At Risk,4022.845,19603.37,6,3267.228333333333,12.303564932949673,49495.334672691926
Shop 048,78,3,5982.92,6.084490630658238,2024,0,1,1,1,2,At Risk,1994.3066666666666,13246.16,6,2207.693333333333,12.303564932949673,24537.08156954775
Shop 049,35,3,2069.63,3.9452719881487206,2023,1,2,1,1,4,At Risk,689.8766666666667,2069.63,3,689.8766666666667,12.303564932949673,8487.94236406021
Shop 050,401,1,473.67,0.0,2023,1,1,1,1,5,Dormant,473.67,473.66999999999996,1,473.66999999999996,12.303564932949673,5827.829601790272
Shop 051,12,11,21376.34,4.719927530125323,2023,0,4,3,3,3,Loyal,1943.3036363636363,23738.79,13,1826.0607692307692,12.303564932949673,23909.562474437218
Shop 052,14,18,69909.8,5.485740118941806,2023,0,3,4,5,2,At Risk,3883.8777777777777,82001.36,21,3904.826666666667,12.303564932949673,47785.54243052917
Shop 053,2,13,23325.45,4.41606183042215,2023,0,5,4,3,4,Loyal,1794.2653846153846,31130.010000000002,16,1945.6256250000001,12.303564932949673,22075.860666559303
