Shop Code,Recency,Frequency,Monetary,Volatility,R_Score,V_Score,F_Score,M_Score,Segment,Cluster
Shop 632,13,35,91252.91,1.8799861841827565,4,5,5,5,Loyal,0
Shop 633,13,13,16159.56,5.078015693776791,4,3,3,2,Promising,0
Shop 634,6,7,5079.5,2.7772451126598674,5,5,2,1,Promising,0
Shop 635,1,57,170175.8,6.731117972677933,5,1,5,5,Promising,1
Shop 636,64,7,13445.61,5.248615671616148,1,3,2,2,At Risk,0
Shop 637,589,1,3324.7799999999997,0.0,1,5,1,1,At Risk,2
Shop 638,26,28,51575.23,5.164927157267951,3,3,5,4,At Risk,0
Shop 639,1,24,29866.96,4.529493865661065,5,3,5,4,Loyal,0
Shop 640,560,2,3843.23,4.242640687119285,1,4,1,1,At Risk,2
Shop 641,32,20,23034.21,4.562642243994696,2,3,4,3,At Risk,0
Shop 642,11,16,37285.51,5.042853277359402,4,3,4,4,Loyal,0
Shop 643,489,8,17548.45,5.755236821269999,1,2,2,3,At Risk,2
Shop 644,40,10,16069.5,7.657191824812942,2,1,2,2,Dormant,0
Shop 645,33,6,28033.93,9.306405664495044,2,1,1,3,At Risk,0
Shop 646,71,7,11367.1,4.834993032336142,1,3,2,2,At Risk,0
Shop 647,335,10,22592.88,5.949537249651182,1,2,2,3,At Risk,2
Shop 648,26,13,40724.08,6.968363278777153,3,1,3,4,At Risk,0
Shop 649,7,19,20953.63,6.0968305206108795,4,2,4,3,Promising,0
Shop 650,1,7,4255.93,2.5850217078047106,5,5,2,1,Promising,0
Shop 651,13,19,69574.72,6.985318649369457,4,1,4,5,Promising,0
Shop 652,49,11,7399.44,2.755143752652778,2,5,3,1,At Risk,0
Shop 653,5,49,1044494.81,3.737931242866479,5,4,5,5,VIP,1
Shop 654,1,21,200378.6,4.377672478373034,5,4,4,5,VIP,0
Shop 655,78,3,6003.97,5.628316795219531,1,2,1,1,Dormant,0
Shop 656,27,12,24520.13,4.880688139625844,2,3,3,3,At Risk,0
Shop 657,0,20,46547.840000000004,4.8750301731613055,5,3,4,4,Loyal,0
Shop 658,20,8,8906.14,3.3926538016039647,3,5,2,2,At Risk,0
Shop 659,14,23,54919.13,5.629186828830119,4,2,4,4,Promising,0
Shop 660,5,13,12616.61,3.2035317145816973,5,5,3,2,Promising,0
Shop 661,237,2,1463.99,4.898979485566356,1,3,1,1,At Risk,2
Shop 662,14,1,1530.71,0.0,4,5,1,1,Promising,0
Shop 663,35,2,1137.36,3.162277660168379,2,5,1,1,At Risk,0
Shop 664,35,5,7230.7300000000005,5.55637672425959,2,2,1,1,Dormant,0
Shop 665,34,5,11389.0,4.710794465795353,2,3,1,2,At Risk,0
Shop 666,55,5,12387.86,5.82119699012056,2,2,1,2,Dormant,0
Shop 667,109,10,30382.33,7.134412542138445,1,1,2,4,At Risk,0
Shop 668,567,1,843.94,0.0,1,5,1,1,At Risk,2
Shop 669,7,12,14977.39,4.29112022384883,4,4,3,2,Promising,0
Shop 670,559,2,4421.52,5.744562646538028,1,2,1,1,Dormant,2
Shop 671,21,18,34018.159999999996,3.1868068712833724,3,5,4,4,At Risk,0
Shop 672,159,2,1649.95,3.1622776601683795,1,5,1,1,At Risk,0
Shop 673,560,2,4987.36,6.557438524302,1,2,1,1,Dormant,2
Shop 674,22,12,15209.470000000001,4.153318199106342,3,4,3,2,At Risk,0
Shop 675,69,2,2525.32,4.690415759823429,1,3,1,1,At Risk,0
Shop 676,36,5,8382.59,4.310686421701918,2,4,1,2,At Risk,0
Shop 677,36,7,13528.47,5.369813310745643,2,2,2,2,Dormant,0
Shop 678,7,20,18447.670000000002,3.816942961306939,4,4,4,3,Loyal,0
Shop 679,488,3,11667.03,8.009208072874456,1,1,1,2,Dormant,2
Shop 680,0,9,7987.38,3.9124009322225954,5,4,2,2,Promising,0
Shop 681,7,6,6559.59,3.222390922600638,4,5,1,1,Promising,0
Shop 682,488,3,14630.87,7.597001658631406,1,1,1,2,Dormant,2
Shop 683,22,29,331705.69,2.0763463430723332,3,5,5,5,At Risk,1
Shop 684,4,11,13421.29,5.790949144780225,5,2,3,2,Promising,0
Shop 685,11,12,34154.66,7.236098206167738,4,1,3,4,Promising,0
Shop 686,28,14,18677.02,3.8561807576650766,2,4,3,3,At Risk,0
Shop 687,34,5,6038.08,5.106897129076381,2,3,1,1,At Risk,0
Shop 688,162,8,22556.12,6.4252262075783,1,2,2,3,At Risk,0
Shop 689,19,5,22563.32,6.481864520680117,3,2,1,3,At Risk,0
Shop 690,5,41,77271.71,5.698090120994902,5,2,5,5,Promising,0
Shop 691,20,31,58953.58,5.033149201421216,3,3,5,4,At Risk,0
Shop 692,14,14,34926.82,6.387383864195819,4,2,3,4,Promising,0
Shop 693,419,2,1223.45,3.464101615137754,1,4,1,1,At Risk,2
Shop 694,1,6,7189.26,4.363836504972773,5,4,1,1,Promising,0
Shop 695,70,1,2111.84,0.0,1,5,1,1,At Risk,0
Shop 696,1,13,34532.26,5.919545294509854,5,2,3,4,Promising,0
Shop 697,41,11,53703.43,9.108285481788371,2,1,3,4,At Risk,0
Shop 698,14,7,10288.85,5.003835263769059,4,3,2,2,Promising,0
Shop 699,15,9,47864.76,9.322715400869496,3,1,2,4,At Risk,0
Shop 700,13,19,41877.15,5.731757601617241,4,2,4,4,Promising,0
Shop 701,8,13,37799.51,6.3502161537196615,4,2,3,4,Promising,0
Shop 702,7,21,107324.96,8.531322069502021,4,1,4,5,Promising,0
Shop 703,0,10,57497.86,6.411177558239985,5,2,2,4,Promising,0
Shop 704,29,13,34999.27,5.831303691040533,2,2,3,4,At Risk,0
Shop 705,84,15,64232.409999999996,5.933203317650786,1,2,3,5,At Risk,0
Shop 706,25,24,27029.46,4.25356744923606,3,4,5,3,At Risk,0
Shop 707,8,14,22216.43,4.697461924638267,4,3,3,3,Loyal,0
Shop 708,1,4,1407.55,2.31454125213401,5,5,1,1,Promising,0
Shop 709,34,1,73.64,0.0,2,5,1,1,At Risk,0
Shop 710,8,43,50490.840000000004,4.047217001556212,4,4,5,4,Loyal,0
Shop 711,22,20,17219.16,3.710724312629234,3,4,4,3,At Risk,0
Shop 712,12,16,25116.46,3.9071690726952775,4,4,4,3,Loyal,0
Shop 713,14,13,31439.56,5.292219495617396,4,3,3,4,Loyal,0
Shop 714,14,31,43595.06,6.796495926271432,4,1,5,4,Promising,0
Shop 715,20,27,77199.12,7.188094111911706,3,1,5,5,At Risk,0
Shop 716,1,6,14022.22,5.294691482107306,5,3,1,2,Promising,0
Shop 717,27,14,51378.26,5.4597525992558475,2,2,3,4,At Risk,0
Shop 718,12,18,58689.409999999996,5.750660693918205,4,2,4,4,Promising,0
Shop 719,61,16,20301.87,5.162961029618064,1,3,4,3,At Risk,0
Shop 720,27,6,17777.88,4.0177871248201456,2,4,1,3,At Risk,0
Shop 721,1,14,25015.36,5.238324194101022,5,3,3,3,Loyal,0
Shop 722,57,6,3263.08,2.7004193663767753,2,5,1,1,At Risk,0
